Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Jeff Adrien,24.7,GSW,Big,159,6,40.4%,7,50%,13,23%,20,25%,6,24%,0,0%,0,0%,0,0%
Arron Afflalo,25.0,DEN,Wing,2270,98,58.1%,63,64%,98,54%,69,42%,95,47%,78,45%,76,39%,95,43%
Alexis Ajinca,22.5,TOR,Big,240,57,51.1%,92,72%,98,60%,52,38%,66,41%,0,0%,32,32%,43,32%
Cole Aldrich,22.0,OKC,Big,101,44,50.0%,100,80%,1,0%,0,0%,0,0%,0,0%,0,0%,0,0%
LaMarcus Aldridge,25.3,POR,Big,3202,47,50.1%,72,67%,55,38%,78,44%,68,41%,0,0%,0,20%,0,13%
Malik Allen,32.3,ORL,Big,159,0,24.0%,97,75%,1,0%,17,20%,4,14%,0,0%,0,0%,0,0%
Ray Allen,35.3,BOS,Wing,2883,97,57.9%,64,64%,84,44%,94,48%,94,47%,92,50%,86,41%,98,45%
Tony Allen,28.8,MEM,Combo,1474,92,52.3%,82,65%,29,31%,16,32%,16,31%,0,23%,0,14%,2,20%
Al-Farouq Aminu,20.1,LAC,Wing,1391,12,44.1%,22,55%,58,36%,4,20%,7,27%,2,25%,38,34%,15,30%
Lou Amundson,27.9,GSW,Big,664,22,46.0%,10,52%,19,27%,45,37%,19,31%,0,0%,0,0%,0,0%
Chris Andersen,32.3,DEN,Big,708,95,60.0%,60,65%,8,20%,64,41%,38,36%,0,0%,0,0%,0,0%
David Andersen,30.4,NOP,Big,191,39,49.2%,7,50%,100,71%,81,45%,95,49%,0,0%,0,33%,0,33%
David Andersen,30.4,TOR,Big,140,44,50.0%,1,33%,76,43%,98,59%,99,55%,0,0%,0,30%,0,30%
James Anderson,21.6,SAS,Wing,268,71,51.4%,3,33%,1,0%,95,50%,66,40%,95,53%,45,35%,93,43%
Ryan Anderson,22.5,ORL,Big,1342,87,57.0%,40,60%,14,24%,29,32%,13,28%,10,30%,82,43%,68,39%
Carmelo Anthony,26.4,DEN,Forward,1762,18,47.4%,22,54%,57,36%,75,43%,73,41%,19,33%,43,34%,36,34%
Carmelo Anthony,26.4,NYK,Wing,975,65,51.1%,61,63%,31,31%,55,40%,45,37%,68,43%,94,43%,95,43%
Joel Anthony,28.2,MIA,Big,1410,74,53.8%,33,59%,77,43%,99,100%,92,46%,0,0%,0,0%,0,0%
Gilbert Arenas,28.8,ORL,Combo,1027,10,41.5%,6,43%,61,38%,35,36%,35,37%,25,30%,20,30%,19,30%
Gilbert Arenas,28.8,WAS,Combo,708,27,46.1%,35,56%,37,33%,90,45%,84,42%,0,20%,38,33%,23,32%
Trevor Ariza,25.3,NOP,Wing,2589,19,45.7%,45,59%,22,29%,12,29%,11,29%,18,34%,16,29%,18,31%
