Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Steven Adams,26.3,OKC,Big,210,43,+0.8,39,+2.3,64,-1.4%,38,-1.2%,58,-0.8,86,-4.9,13,+38.9
Giannis Antetokounmpo,24.9,MIL,Big,277,63,-2.9,64,-3.6,53,+1.0%,44,-0.7%,32,+4.5,52,+0.0,15,+36.4
Carmelo Anthony,35.4,POR,Big,213,1,+20.5,2,+22.3,6,+7.3%,91,+3.9%,84,-9.1,66,-1.9,79,-27.5
D.J. Augustin,32.0,ORL,Point,127,45,+0.5,63,-3.5,87,-5.9%,99,+10.8%,90,-11.5,92,-7.0,61,-6.7
Patrick Beverley,31.3,LAC,Point,165,87,-12.1,72,-6.0,27,+3.6%,54,+0.2%,89,-11.2,54,-0.2,98,-80.2
Eric Bledsoe,29.9,MIL,Point,267,42,+1.0,62,-3.4,73,-2.8%,78,+1.9%,30,+4.7,78,-3.0,3,+61.4
Malcolm Brogdon,26.9,IND,Combo,159,18,+8.6,68,-4.2,52,+1.1%,65,+1.1%,16,+7.8,22,+3.6,27,+19.3
Jaylen Brown,23.0,BOS,Wing,670,26,+6.5,21,+7.5,89,-6.1%,66,+1.1%,78,-6.3,76,-2.9,74,-20.5
Trey Burke,27.0,DAL,Point,155,83,-10.5,88,-13.3,61,-0.3%,93,+5.3%,53,-0.5,81,-3.2,26,+21.1
Jimmy Butler,30.1,MIA,Wing,806,30,+5.2,18,+7.8,13,+4.7%,71,+1.4%,74,-4.3,50,+0.1,77,-25.6
Kentavious Caldwell-Pope,26.7,LAL,Wing,608,27,+6.5,28,+4.3,79,-4.2%,76,+1.8%,28,+4.8,33,+2.2,30,+18.5
Jordan Clarkson,27.4,UTA,Wing,197,29,+5.4,31,+3.8,74,-2.8%,23,-2.6%,96,-15.3,89,-6.4,90,-49.3
Mike Conley,32.1,UTA,Point,162,40,+1.6,25,+6.0,12,+4.8%,47,-0.6%,31,+4.6,62,-1.3,12,+42.0
Pat Connaughton,26.8,MIL,Wing,170,13,+11.7,23,+6.5,34,+2.7%,17,-3.1%,40,+3.0,24,+3.3,62,-6.9
Robert Covington,28.9,HOU,Big,371,66,-3.4,73,-6.1,18,+4.3%,15,-3.5%,14,+8.8,16,+4.8,36,+15.1
Jae Crowder,29.3,MIA,Big,659,33,+4.5,20,+7.6,62,-0.6%,58,+0.6%,65,-2.0,53,-0.2,67,-9.2
Seth Curry,29.2,DAL,Combo,172,39,+1.7,13,+11.4,63,-0.7%,83,+2.4%,43,+2.0,31,+2.3,63,-7.0
