Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Ray Allen,29.3,OKC,Wing,434,93,25.9%,90,139.2,83,18.8%,48,0.72,45,13.8%
Carmelo Anthony,20.4,DEN,Forward,179,100,23.0%,64,118.5,91,11.2%,45,0.49,36,14.7%
Gilbert Arenas,22.8,WAS,Wing,450,86,22.9%,62,127.3,93,23.2%,79,1.01,24,16.3%
Carlos Arroyo,25.3,DET,Point,133,59,20.3%,0,78.1,82,41.5%,94,2.04,41,15.1%
Leandro Barbosa,21.9,PHX,Combo,110,17,16.2%,0,81.8,25,15.3%,50,0.94,42,12.2%
Brent Barry,32.8,SAS,Wing,536,7,11.1%,86,139.0,62,13.5%,100,1.22,10,20.4%
Jon Barry,35.3,HOU,Wing,180,21,12.8%,59,126.1,21,8.0%,31,0.62,69,10.5%
Shane Battier,26.1,MEM,Forward,118,27,12.5%,18,96.7,36,6.4%,64,0.51,82,11.9%
Mike Bibby,26.5,SAC,Point,201,82,25.2%,35,107.7,53,25.8%,24,1.02,88,11.4%
Chauncey Billups,28.1,DET,Combo,983,50,21.0%,75,142.1,83,28.6%,83,1.36,58,11.4%
Bruce Bowen,33.4,SAS,Wing,809,0,8.4%,10,103.1,14,6.8%,62,0.81,66,10.6%
Ryan Bowen,29.0,HOU,Forward,115,18,11.9%,0,78.3,55,7.4%,73,0.62,0,21.1%
Earl Boykins,28.4,DEN,Point,147,76,24.6%,47,111.3,59,26.8%,35,1.09,82,11.4%
Rasual Butler,25.4,MIA,Wing,175,34,15.7%,3,98.2,10,6.2%,7,0.39,97,3.7%
Marcus Camby,30.6,DEN,Big,186,44,11.4%,54,134.2,63,7.1%,80,0.62,15,24.2%
Vince Carter,27.8,BKN,Wing,180,97,27.7%,31,114.1,97,25.8%,76,0.93,48,13.5%
Tyson Chandler,22.1,CHI,Big,174,27,10.3%,90,194.4,66,7.3%,85,0.71,34,18.4%
Jason Collins,25.9,BKN,Big,128,2,7.5%,0,64.7,2,1.3%,5,0.17,20,23.3%
Nick Collison,24.0,OKC,Big,211,37,10.8%,78,164.8,41,4.5%,46,0.42,85,12.4%
Samuel Dalembert,24.5,PHI,Big,192,49,11.7%,39,126.1,5,1.7%,2,0.15,27,19.4%
Erick Dampier,29.3,DAL,Big,302,24,10.1%,66,140.0,29,3.6%,34,0.36,51,16.1%
Antonio Daniels,29.6,OKC,Combo,324,25,17.4%,100,166.7,75,27.1%,100,1.56,83,9.0%
Marquis Daniels,23.8,DAL,Combo,158,42,17.6%,67,134.0,42,16.1%,42,0.91,0,20.6%
Antonio Davis,36.0,CHI,Big,171,54,12.6%,44,126.7,76,10.5%,90,0.83,41,17.5%
Dale Davis,35.6,IND,Big,314,7,8.8%,37,125.5,20,3.0%,29,0.34,54,15.7%
Ricky Davis,25.1,BOS,Wing,235,62,18.8%,41,117.8,38,10.4%,17,0.55,3,22.8%
Juan Dixon,26.1,WAS,Combo,217,75,21.6%,17,114.0,17,13.5%,17,0.63,67,11.2%
Keyon Dooling,24.5,MIA,Point,255,41,19.5%,76,127.2,12,16.3%,0,0.84,53,14.0%
Chris Duhon,22.2,CHI,Point,162,6,14.9%,18,102.8,41,21.9%,76,1.46,6,21.4%
Tim Duncan,28.5,SAS,Big,862,93,24.4%,56,134.4,95,14.9%,76,0.61,68,13.9%
Reggie Evans,24.5,OKC,Big,208,15,9.8%,27,117.1,24,3.4%,32,0.35,12,25.0%
Michael Finley,31.7,DAL,Wing,495,28,13.9%,24,113.3,24,8.6%,28,0.62,90,7.8%
Danny Fortson,28.6,OKC,Big,105,51,12.3%,90,194.4,0,0.0%,0,0.00,0,48.1%
Jeff Foster,27.8,IND,Big,230,20,9.9%,68,144.7,39,4.3%,51,0.43,80,12.6%
Pau Gasol,24.3,MEM,Big,131,100,27.6%,15,109.0,80,11.8%,49,0.43,100,8.8%
Manu Ginobili,27.3,SAS,Wing,769,79,21.1%,97,177.6,86,22.0%,90,1.04,14,18.6%
Ben Gordon,21.6,CHI,Wing,150,90,23.3%,45,118.1,76,16.9%,45,0.72,31,15.6%
Richard Hamilton,26.7,DET,Wing,1077,83,21.5%,52,121.6,79,18.6%,72,0.87,28,16.2%
Othella Harrington,30.8,CHI,Big,104,80,18.2%,24,117.1,49,5.6%,24,0.31,34,18.4%
Udonis Haslem,24.4,MIA,Big,544,10,9.1%,63,137.4,37,4.3%,56,0.47,41,17.5%
Brendan Haywood,24.9,WAS,Big,293,22,10.0%,80,165.6,46,5.2%,61,0.52,61,14.7%
Kirk Hinrich,23.8,CHI,Combo,214,92,22.6%,58,132.3,100,32.7%,92,1.45,50,12.1%
Robert Horry,34.2,SAS,Big,618,56,13.3%,49,132.5,85,12.2%,95,0.92,93,11.5%
Josh Howard,24.5,DAL,Forward,429,91,17.5%,100,136.7,73,8.6%,55,0.49,27,16.5%
Larry Hughes,25.8,WAS,Combo,402,67,21.5%,25,119.0,33,15.7%,25,0.73,33,12.4%
Lindsey Hunter,33.9,DET,Combo,352,33,17.4%,8,86.3,58,19.0%,67,1.09,75,10.4%
