Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Malik Allen,25.3,MIA,Big,132,80,18.2%,13,100.0,23,5.8%,13,0.32,95,8.7%
Rafer Alston,27.3,MIA,Point,288,12,16.0%,29,103.6,0,15.4%,0,0.96,94,9.3%
Shandon Anderson,29.8,NYK,Wing,111,19,13.7%,0,65.4,67,15.2%,89,1.11,11,22.5%
Carmelo Anthony,19.4,DEN,Wing,144,94,24.5%,8,95.2,50,12.8%,11,0.52,19,21.4%
Darrell Armstrong,35.4,NOP,Point,149,24,17.1%,0,70.6,12,20.8%,29,1.21,0,25.0%
Chucky Atkins,29.2,BOS,Point,134,35,18.0%,88,142.1,29,24.6%,59,1.36,24,19.0%
Stacey Augmon,35.2,NOP,Wing,165,53,17.1%,44,110.6,17,9.3%,17,0.55,14,22.2%
Jonathan Bender,22.8,IND,Big,186,75,17.7%,28,111.5,45,7.7%,28,0.43,63,16.1%
Mike Bibby,25.5,SAC,Point,498,71,22.3%,76,123.7,59,28.5%,35,1.28,47,14.1%
Chauncey Billups,27.1,DET,Combo,882,78,20.7%,89,134.5,78,28.6%,89,1.38,33,15.5%
Mark Blount,27.9,BOS,Big,144,33,12.7%,73,141.2,25,5.9%,33,0.46,15,24.0%
Bruce Bowen,32.4,SAS,Wing,297,3,10.0%,11,96.8,0,5.5%,14,0.55,100,6.6%
Earl Boykins,27.4,DEN,Point,116,94,26.8%,53,106.8,53,26.1%,6,0.97,100,8.3%
Devin Brown,24.8,SAS,Combo,124,11,13.3%,100,147.1,22,11.9%,44,0.90,11,18.7%
P.J. Brown,34.0,NOP,Big,254,50,14.6%,5,88.6,65,11.0%,63,0.76,65,16.0%
Kobe Bryant,25.2,LAL,Wing,966,97,26.4%,69,120.6,97,25.7%,72,0.98,81,11.5%
Caron Butler,23.6,MIA,Wing,509,39,16.2%,42,110.1,31,11.4%,42,0.71,58,13.6%
Marcus Camby,29.6,DEN,Big,194,25,11.6%,63,131.3,63,10.0%,70,0.86,85,11.8%
Elden Campbell,35.3,DET,Big,125,65,16.9%,3,85.7,93,18.5%,85,1.10,30,20.2%
Sam Cassell,34.0,MIN,Point,496,82,24.4%,82,133.8,47,25.8%,12,1.06,35,16.4%
Kelvin Cato,29.2,HOU,Big,146,3,6.6%,95,152.6,8,2.5%,18,0.37,13,25.0%
Doug Christie,33.5,SAC,Wing,458,33,15.6%,72,122.6,69,16.5%,83,1.06,56,13.7%
Jason Collins,24.9,BKN,Big,263,15,10.0%,23,111.1,68,11.3%,88,1.13,5,27.0%
Austin Croshere,28.5,IND,Forward,204,11,13.9%,56,111.1,78,10.5%,100,0.76,100,8.5%
Marquis Daniels,22.8,DAL,Combo,179,56,18.7%,22,111.4,33,12.3%,0,0.66,22,16.8%
Baron Davis,24.6,NOP,Combo,261,100,25.4%,44,115.5,100,40.8%,100,1.61,67,13.1%
Ricky Davis,24.1,BOS,Wing,121,67,19.7%,81,134.3,92,21.3%,86,1.08,8,24.5%
Vlade Divac,35.7,SAC,Big,235,68,17.1%,33,112.9,80,16.9%,80,0.99,70,15.9%
Tim Duncan,27.5,SAS,Big,401,95,22.6%,80,144.4,78,16.7%,57,0.74,18,22.0%
Michael Finley,30.7,DAL,Wing,196,31,15.5%,14,97.0,19,9.5%,28,0.61,75,11.8%
Derek Fisher,29.2,LAL,Combo,495,44,15.2%,56,118.0,67,17.6%,67,1.15,89,11.5%
Jeff Foster,26.8,IND,Big,309,10,7.9%,75,141.5,43,7.2%,78,0.91,10,25.5%
Rick Fox,34.3,LAL,Wing,142,6,11.0%,3,70.6,89,20.0%,100,1.83,6,25.0%
Steve Francis,26.7,HOU,Point,223,65,22.2%,94,145.5,71,32.8%,71,1.47,18,20.7%
Kevin Garnett,27.5,MIN,Big,780,100,26.3%,55,122.7,98,23.6%,73,0.90,50,17.1%
Pau Gasol,23.3,MEM,Big,133,90,20.3%,90,151.0,85,17.2%,68,0.85,93,9.3%
Devean George,26.2,LAL,Forward,470,0,10.4%,78,121.0,11,3.8%,22,0.36,78,11.1%
Manu Ginobili,26.3,SAS,Wing,278,61,18.8%,97,144.4,86,19.1%,78,1.02,36,18.4%
Brian Grant,31.7,MIA,Big,399,28,12.0%,10,95.8,15,4.6%,20,0.38,57,16.7%
Richard Hamilton,25.7,DET,Wing,930,89,23.2%,75,126.4,94,22.4%,69,0.97,44,15.6%
Anfernee Hardaway,32.3,NYK,Wing,167,72,20.6%,33,104.8,100,26.7%,94,1.30,64,13.1%
Al Harrington,23.7,IND,Forward,427,44,17.8%,67,112.6,22,6.0%,11,0.33,44,18.0%
Lucious Harris,32.9,BKN,Combo,178,0,11.9%,67,122.2,0,10.6%,33,0.89,100,10.9%
Udonis Haslem,23.4,MIA,Big,195,8,7.8%,85,146.9,10,3.3%,25,0.42,90,9.4%
Trenton Hassell,24.7,MIN,Wing,474,11,12.5%,61,117.9,14,9.3%,53,0.74,67,12.9%
